asset,year_month,timestamp_unit,agg_trades_count,raw_trades_count,duration_seconds,first_timestamp_int,last_timestamp_int,agg_trades_per_second,raw_trades_per_second,raw_to_agg_ratio
BNBUSDT,2026-02,us,12973782,36488499,2419196.400096,1769904000002674,1772323196402770,5.362847761961437,15.082900668400482,2.81247973798234
BNBUSDT,2026-03,us,8571739,29708725,2678395.57033,1772323201627402,1775001597197732,3.200326006715988,11.09198556370807,3.4658923935971453
BTCUSDT,2025-01,us,50938081,135946515,2678399.912234,1735689600010866,1738367999923100,19.018101354966653,50.75661568649385,2.6688581966800045
BTCUSDT,2025-02,us,48342373,128881324,2419199.637173,1738368000182381,1740787199819554,19.982796069071576,53.274364802156896,2.66601153402213
BTCUSDT,2025-03,us,55880780,136245963,2678399.78584,1740787200184756,1743465599970596,20.863494798434157,50.86841916591273,2.438154281311034
BTCUSDT,2025-04,us,39896727,104290701,2591999.158432,1743465600003164,1746057599161596,15.392260784581069,40.235623017366045,2.6140164580417835
BTCUSDT,2025-05,us,33262422,108937329,2678399.492812,1746057600079126,1748735999571938,12.418768032650132,40.672546904356224,3.275087093778078
BTCUSDT,2025-06,us,28094261,81239595,2591999.527395,1748736000286958,1751327999814353,10.838837238614456,31.34244205732825,2.891679371811916
BTCUSDT,2025-07,us,25275303,67500741,2678399.958687,1751328000015562,1754006399974249,9.436717215449184,25.201889949658632,2.670620447161405
BTCUSDT,2025-08,us,24302731,82402173,2678399.23765,1754006400328945,1756684799566595,9.07360286636094,30.765455665339427,3.3906548609701517
BTCUSDT,2025-09,us,20100668,64657874,2591999.320331,1756684800178247,1759276799498578,7.754889379150429,24.9451739793447,3.2167027483862727
BTCUSDT,2025-10,us,40278525,145191072,2678399.418239,1759276800181160,1761955199599399,15.038281716205876,54.20814797497998,3.6046769835787185
BTCUSDT,2025-11,us,41439366,169048376,2591999.37947,1761955200098001,1764547199477471,15.9874135496411,65.21929647782795,4.079415114603829
BTCUSDT,2025-12,us,33782084,139426812,2678399.260014,1764547200180386,1767225599440400,12.612788729572536,52.0560224465083,4.127241291567447
BTCUSDT,2026-01,us,30712691,124606754,2678399.726265,1767225600039409,1769903999765674,11.466806354116724,46.52283704261081,4.057174736007339
BTCUSDT,2026-02,us,52474665,185167163,2419199.990172,1769904000006539,1772323199996711,21.69091650677014,76.54065961980886,3.5286964290291323
BTCUSDT,2026-03,us,38348867,139526257,2678399.612733,1772323200005709,1775001599618442,14.317828757774263,52.093144106166235,3.6383410492935817
DOGEUSDT,2025-01,us,23658617,78417906,2678395.233351,1735689600912134,1738367996145485,8.833131386065146,29.277944129959344,3.314560018449092
DOGEUSDT,2025-02,us,15326403,54304554,2419198.473189,1738368000566213,1740787199039402,6.33532269876008,22.44733311542457,3.5432027984648453
DOGEUSDT,2025-03,us,10706682,37728949,2678395.93432,1740787200441915,1743465596376235,3.99742318258792,14.086397203846843,3.5238693929641323
DOGEUSDT,2025-04,us,7576604,28834123,2591999.835935,1743465600098514,1746057599934449,2.9230727158850023,11.12427655289523,3.805679035092767
DOGEUSDT,2025-05,us,11458587,40863225,2678396.233648,1746057600707107,1748735996940755,4.278152297277278,15.256601874900309,3.566166142474635
DOGEUSDT,2025-06,us,5824785,22910901,2591998.623834,1748736000302707,1751327998926541,2.2472176282964873,8.839086868846767,3.933347067745848
DOGEUSDT,2025-07,us,12952522,53915325,2678396.790297,1751328001868468,1754006398658765,4.835923507272322,20.129700422028012,4.162534910189692
DOGEUSDT,2025-08,us,11170073,40877657,2678397.500339,1754006400560671,1756684798061010,4.170431386150198,15.26198295616173,3.659569368973685
DOGEUSDT,2025-09,us,9390342,40089625,2591998.189103,1756684800483558,1759276798672661,3.6228196607072745,15.466687117506677,4.269240140561441
DOGEUSDT,2025-10,us,11749230,52421908,2678395.84207,1759276801007470,1761955196849540,4.38666675606829,19.57212865126228,4.461731364523462
DOGEUSDT,2025-11,us,6758804,48541903,2591997.148331,1761955202431011,1764547199579342,2.607566140399509,18.72760663770652,7.182025547715247
DOGEUSDT,2025-12,us,3719379,26961617,2678398.922629,1764547200175290,1767225599097919,1.3886575926297111,10.066318639919272,7.248956613456171
DOGEUSDT,2026-01,us,5141718,35244445,2678399.155447,1767225600293938,1769903999449385,1.91969818596433,13.158772443727877,6.854604822746016
DOGEUSDT,2026-02,us,5142195,36679511,2419198.286925,1769904000009013,1772323198295938,2.1255781420613324,15.16184564045086,7.1330455184993955
DOGEUSDT,2026-03,us,4140164,24285956,2678399.274784,1772323200003065,1775001599277849,1.5457605738539053,9.067339671363428,5.865940576267027
ETHUSDT,2025-01,us,36609439,94365385,2678399.099064,1735689600080005,1738367999179069,13.668403268502304,35.23201043226798,2.577624448164858
ETHUSDT,2025-02,us,44044058,106089611,2419199.707261,1738368000273410,1740787199980671,18.206044696436557,43.853184456654006,2.4087156319701513
ETHUSDT,2025-03,us,36341963,79281637,2678399.286841,1740787200319320,1743465599606161,13.56853818567993,29.600380118644523,2.1815452566500055
ETHUSDT,2025-04,us,33961793,81919416,2591998.186468,1743465601430409,1746057599616877,13.102552763078208,31.60473507569383,2.4121051559321383
ETHUSDT,2025-05,us,42605031,114381516,2678398.958551,1746057600484069,1748735999442620,15.906902466482853,42.70518237577266,2.684695053971443
ETHUSDT,2025-06,us,32103562,92440826,2591998.554914,1748736000418680,1751327998973594,12.385640392868646,35.66391880302074,2.879456989850534
ETHUSDT,2025-07,us,39623095,95896250,2678398.073631,1751328000345232,1754006398418863,14.79357956163869,35.80358384517399,2.4202109905851623
